tanacsado_id;nev;szakterulet_id;oradij;telefon;email
1;Szűcs Helga;1;7000;(20) 891-20-90;szucs.helga@gmail.com
2;Balogh Bálint;2;7000;(20) 278-30-61;balogh.balint@penzcsinalo.hu
3;Lukács Edina;3;6000;(30) 399-86-19;lukacs.edina@penzcsinalo.hu
4;Hun Péter;5;7000;(30) 380-37-70;hunp@penzcsinalo.hu
5;Jászai Szimonetta;1;8000;(30) 740-96-29;jaszais@freemail.hu
6;Andrási Emília;3;8000;(20) 477-85-92;andrasie@penzcsinalo.hu
7;Balogh Edina;1;6000;(20) 929-58-10;balogh.edina@penzcsinalo.hu
8;Tolnai Mariann;2;6000;(20) 175-87-73;tolnaim@penzcsinalo.hu
9;Keller Nikolett;4;9000;(20) 710-29-33;keller.nikolett@penzcsinalo.hu
10;Csiszér Bettina;1;8000;(30) 751-49-81;csiszer.bettina@penzcsinalo.hu
11;Ambrus Sándor;2;5000;(70) 353-95-18;ambruss@gmail.com
12;Zoltai Rita;3;9000;(20) 516-58-10;zoltai.rita@penzcsinalo.hu
13;Tóth Gábor;3;8000;(30) 761-86-35;toth.gabor@gmail.com
14;Szűcs Emília;5;9000;(20) 943-11-81;szucs.emilia@freemail.hu
15;Csala Adrián;1;7000;(20) 297-65-99;csala.adrian@penzcsinalo.hu
16;Latorczai Etelka;2;9000;(20) 890-84-94;latorczaie@penzcsinalo.hu
17;Csiszér Buda;3;6000;(70) 540-78-48;csiszer.buda@freemail.hu
18;Varga Gergely;1;7000;(20) 578-25-26;varga.gergely@gmail.com
19;Nagy Rita;2;7000;(70) 553-91-27;nagy.rita@penzcsinalo.hu
20;Balogh Linda;4;9000;(20) 282-27-80;baloghl@freemail.hu
