Bálint Tibor
Kutya Ottó
Halmos Rita
Talatta Helén
Sebes Gusztáv
Rút Hilda
Rák Gedeon
Kondorosi Rita
Szép Zoltán
Kanalas Lajos
Rahedli Kázmér
Delejes Árpád
Gazdag Franciska
Joo György
Kovács Lia
Liba Ernő
Nagy Gábor
Ibolya Kék
Hold Imre
Flancos Juliska
Nagy Imola
Bob Merli
Lop Ernő
Ilián Ágnes
Mázos István
Joo Gizi
Vigadó Alajos
Báb János
Tűz József
Pap Ida
Nagy Béluska
Házi Sárkányka
Kelemen Ildikó
Kis Picike
Pénzes Boglárka
Szomorú Füzike
Lőrinc Lajos
Lusta Géza
Király Béla
Bátor Zsigmond
Titok Angéla
Néma Levente
Varga Elemér
Fekete Pál
Selyem Erzsébet
Fa Pál
Ab Pál
Ebben Pál
Aba Iván
Makk Pál
Has Tibi
Abban Pál
Sós Péter
Ob Pál
Tó Ibi
Tok Jenő
Ál Pál
Pál Pál
Tar Feri
Utibar Róza
Turda Piroska
Üde Ágota
Boros Katalin
Remény Ida
Deák Imre
Német Orsolya
